city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Plymouth,Plymouth,50.3854,-4.1600,United Kingdom,GB,GBR,Plymouth,admin,247297,1826947183
Pont-y-pŵl,Pont-y-pwl,51.7011,-3.0444,United Kingdom,GB,GBR,Torfaen,admin,,1826931206
Poole,Poole,50.7167,-2.0000,United Kingdom,GB,GBR,Poole,admin,,1826379738
Poplar,Poplar,51.5000,-0.0167,United Kingdom,GB,GBR,Tower Hamlets,admin,,1826020769
Port Talbot,Port Talbot,51.6000,-3.7833,United Kingdom,GB,GBR,Neath Port Talbot,admin,,1826981147
Portsmouth,Portsmouth,50.8003,-1.0800,United Kingdom,GB,GBR,Portsmouth,admin,442252,1826964096
Preston,Preston,53.7667,-2.7167,United Kingdom,GB,GBR,Lancashire,admin,,1826018478
Reading,Reading,51.4700,-0.9800,United Kingdom,GB,GBR,Reading,admin,369804,1826869043
Rhuthun,Rhuthun,53.1167,-3.3000,United Kingdom,GB,GBR,Denbighshire,admin,,1826254442
Rochdale,Rochdale,53.6167,-2.1500,United Kingdom,GB,GBR,Rochdale,admin,,1826578106
Rochester,Rochester,51.3833,0.5167,United Kingdom,GB,GBR,Medway,admin,,1826559634
Romford,Romford,51.5833,0.2000,United Kingdom,GB,GBR,Havering,admin,,1826695421
Rotherham,Rotherham,53.4333,-1.3500,United Kingdom,GB,GBR,Rotherham,admin,,1826763937
Saint Helens,Saint Helens,53.4500,-2.7333,United Kingdom,GB,GBR,St. Helens,admin,,1826775771
Salford,Salford,53.4833,-2.2667,United Kingdom,GB,GBR,Salford,admin,,1826868550
Sandbach,Sandbach,53.1333,-2.3667,United Kingdom,GB,GBR,Cheshire East,admin,,1826911682
Scarborough,Scarborough,54.2804,-0.4300,United Kingdom,GB,GBR,North Yorkshire,,70571,1826723231
Scunthorpe,Scunthorpe,53.5833,-0.6500,United Kingdom,GB,GBR,North Lincolnshire,admin,,1826817883
Sheffield,Sheffield,53.3667,-1.5000,United Kingdom,GB,GBR,Sheffield,admin,1292900,1826289852
Shrewsbury,Shrewsbury,52.7167,-2.7333,United Kingdom,GB,GBR,Shropshire,admin,,1826283137
Slough,Slough,51.5000,-0.5833,United Kingdom,GB,GBR,Slough,admin,,1826807636
Solihull,Solihull,52.4167,-1.7833,United Kingdom,GB,GBR,Solihull,admin,,1826720500
South Bank,South Bank,54.5667,-1.1500,United Kingdom,GB,GBR,Redcar and Cleveland,admin,,1826839813
South Shields,South Shields,54.9878,-1.4214,United Kingdom,GB,GBR,South Tyneside,admin,,1826396004
Southampton,Southampton,50.9000,-1.4000,United Kingdom,GB,GBR,Southampton,admin,384417,1826602892
Southend-on-Sea,Southend-on-Sea,51.5500,0.7200,United Kingdom,GB,GBR,Southend-on-Sea,admin,618386,1826524208
Southport,Southport,53.6667,-3.0000,United Kingdom,GB,GBR,Sefton,admin,,1826271387
Stafford,Stafford,52.8000,-2.1000,United Kingdom,GB,GBR,Staffordshire,admin,,1826088347
Stirling,Stirling,56.1167,-3.9500,United Kingdom,GB,GBR,Stirling,admin,,1826517007
Stockport,Stockport,53.4000,-2.1500,United Kingdom,GB,GBR,Stockport,admin,,1826228303
Stockton-on-Tees,Stockton-on-Tees,54.5833,-1.4167,United Kingdom,GB,GBR,Stockton-on-Tees,admin,,1826259802
Stoke-on-Trent,Stoke-on-Trent,53.0004,-2.1800,United Kingdom,GB,GBR,Stoke-on-Trent,admin,390801,1826799578
Stornoway,Stornoway,58.2167,-6.3667,United Kingdom,GB,GBR,Eilean Siar,admin,,1826708788
Strabane,Strabane,54.8224,-7.4684,United Kingdom,GB,GBR,Derry and Strabane,admin,,1826843663
Stretford,Stretford,53.4500,-2.3167,United Kingdom,GB,GBR,Trafford,admin,,1826645692
